Category,Question
Everyday Life & Comforts,What’s a food from your childhood that you still love today?
Everyday Life & Comforts,"What’s a snack or drink you always say “yes” to, no matter what?"
Everyday Life & Comforts,What’s a smell that instantly reminds you of home?
Everyday Life & Comforts,What’s a comfort meal you make when you want something familiar?
Everyday Life & Comforts,What’s one ingredient or dish you discovered after moving to a new place?
Fun Identity & Habits,What’s a small habit you have that people from another culture might find funny?
Fun Identity & Habits,What’s one “strange but true” routine you always do?
Fun Identity & Habits,What’s a cultural gesture or phrase you sometimes use by accident?
Fun Identity & Habits,"What’s a superstition, tradition, or belief you grew up with that still sticks with you?"
Fun Identity & Habits,What’s a little behavior that you think is “so you”?
Playful Nostalgia,"What cartoon, show, or game were you obsessed with as a kid?"
Playful Nostalgia,What’s a toy or activity you loved that might surprise people?
Playful Nostalgia,What’s something you used to collect as a child or teen?
Playful Nostalgia,What’s a school memory that still makes you laugh?
Playful Nostalgia,What’s a childhood dish you thought was totally normal until you described it to someone else?
Personality ,"If people could describe you with one “quirky” trait, what would it be?"
Personality ,What do you do that unintentionally makes people smile?
Personality ,What’s a nice compliment you’ve received that you still remember?
Personality ,What’s a small thing you take way too seriously (in a fun way)?
Personality ,What’s a skill or quality you think you’ve inherited from your family?
Cultural Storytelling,What’s a tiny cultural misunderstanding you had that now makes you laugh?
Cultural Storytelling,What’s a custom from another culture that you instantly loved?
Cultural Storytelling,What’s a phrase in your language that is funny or untranslatable?
Cultural Storytelling,What’s a food from another culture that surprised you in a good way?
Cultural Storytelling,What’s a moment when someone from another culture surprised you in a funny or sweet way?
Hopes & Future Curiosity,What’s something new you’d love to try in the next year?
Hopes & Future Curiosity,What’s a small dream or goal you have for your future self?
Hopes & Future Curiosity,What’s a place you’ve never been to but really want to visit?
Hopes & Future Curiosity,"What’s a skill you’d love to get better at, even just a little?"
Hopes & Future Curiosity,What’s a new habit or routine you wish you could magically adopt?
